id,zip,latitude,longitude
zipgeo_33010,33010,25.833202,-80.278720
zipgeo_33012,33012,25.866106,-80.301115
zipgeo_33013,33013,25.862190,-80.269677
zipgeo_33014,33014,25.904642,-80.302080
zipgeo_33015,33015,25.940571,-80.317442
zipgeo_33016,33016,25.893769,-80.330087
zipgeo_33018,33018,25.912395,-80.393093
zipgeo_33019,33019,26.027614,-80.120197
zipgeo_33020,33020,26.019191,-80.152944
zipgeo_33021,33021,26.023130,-80.186539
zipgeo_33022,33022,26.013848,-80.144066
zipgeo_33023,33023,25.988484,-80.212462
zipgeo_33024,33024,26.026358,-80.244633
zipgeo_33025,33025,25.988183,-80.281394
zipgeo_33026,33026,26.026198,-80.295994
zipgeo_33027,33027,25.988110,-80.340442
zipgeo_33028,33028,26.014716,-80.340171
zipgeo_33029,33029,25.992293,-80.394197
zipgeo_33030,33030,25.485755,-80.508192
zipgeo_33031,33031,25.524991,-80.500876
zipgeo_33032,33032,25.531145,-80.391233
zipgeo_33033,33033,25.478900,-80.409102
zipgeo_33034,33034,25.472158,-80.773252
zipgeo_33035,33035,25.422344,-80.399874
zipgeo_33036,33036,24.901896,-80.698998
zipgeo_33037,33037,25.225842,-80.414337
zipgeo_33039,33039,25.497969,-80.398172
zipgeo_33040,33040,24.544610,-81.921737
zipgeo_33042,33042,24.665275,-81.503095
zipgeo_33043,33043,24.669652,-81.260781
zipgeo_33050,33050,24.749924,-80.986567
zipgeo_33051,33051,24.723406,-81.021647
zipgeo_33054,33054,25.907995,-80.257509
zipgeo_33055,33055,25.948468,-80.278855
zipgeo_33056,33056,25.948892,-80.243585
zipgeo_33060,33060,26.234723,-80.121087
zipgeo_33062,33062,26.241077,-80.091233
zipgeo_33063,33063,26.251909,-80.208929
zipgeo_33064,33064,26.277754,-80.115325
zipgeo_33065,33065,26.274498,-80.260400
zipgeo_33066,33066,26.252926,-80.170380
zipgeo_33067,33067,26.305853,-80.226402
zipgeo_33068,33068,26.216395,-80.213958
zipgeo_33069,33069,26.235830,-80.157100
zipgeo_33070,33070,25.011030,-80.529313
zipgeo_33071,33071,26.245781,-80.267366
zipgeo_33073,33073,26.298166,-80.182101
zipgeo_33076,33076,26.319325,-80.271793
zipgeo_33101,33101,25.779764,-80.198763
zipgeo_33109,33109,25.761184,-80.130777
zipgeo_33122,33122,25.805005,-80.315071
zipgeo_33125,33125,25.783834,-80.236333
zipgeo_33126,33126,25.779492,-80.299573
zipgeo_33127,33127,25.813529,-80.204358
zipgeo_33128,33128,25.776769,-80.203433
zipgeo_33129,33129,25.754889,-80.198479
zipgeo_33130,33130,25.768524,-80.203359
zipgeo_33131,33131,25.765524,-80.184349
zipgeo_33132,33132,25.776585,-80.173242
zipgeo_33133,33133,25.731479,-80.233840
zipgeo_33134,33134,25.753332,-80.270379
zipgeo_33135,33135,25.766612,-80.235036
zipgeo_33136,33136,25.787247,-80.205296
zipgeo_33137,33137,25.810900,-80.166944
zipgeo_33138,33138,25.853764,-80.178006
zipgeo_33139,33139,25.779391,-80.151566
zipgeo_33140,33140,25.816916,-80.135660
zipgeo_33141,33141,25.850980,-80.138556
zipgeo_33142,33142,25.806310,-80.255409
zipgeo_33143,33143,25.702492,-80.298600
zipgeo_33144,33144,25.763458,-80.312667
zipgeo_33145,33145,25.753247,-80.234512
zipgeo_33146,33146,25.720850,-80.272571
zipgeo_33147,33147,25.851208,-80.238850
zipgeo_33149,33149,25.714412,-80.163587
zipgeo_33150,33150,25.852190,-80.207174
zipgeo_33154,33154,25.885908,-80.132227
zipgeo_33155,33155,25.737789,-80.311193
zipgeo_33156,33156,25.668203,-80.297010
zipgeo_33157,33157,25.607529,-80.343349
zipgeo_33158,33158,25.638840,-80.311316
zipgeo_33160,33160,25.933455,-80.135342
zipgeo_33161,33161,25.893543,-80.183272
zipgeo_33162,33162,25.928618,-80.179211
zipgeo_33165,33165,25.734345,-80.358271
zipgeo_33166,33166,25.824907,-80.310665
zipgeo_33167,33167,25.884528,-80.236019
zipgeo_33168,33168,25.892856,-80.209124
zipgeo_33169,33169,25.943117,-80.214686
zipgeo_33170,33170,25.558264,-80.449634
zipgeo_33172,33172,25.786716,-80.364872
zipgeo_33173,33173,25.702320,-80.357503
zipgeo_33174,33174,25.762048,-80.359500
zipgeo_33175,33175,25.736612,-80.406830
zipgeo_33176,33176,25.658379,-80.360893
zipgeo_33177,33177,25.598817,-80.406503
zipgeo_33178,33178,25.835497,-80.422481
zipgeo_33179,33179,25.957620,-80.179998
zipgeo_33180,33180,25.962149,-80.140904
zipgeo_33181,33181,25.897660,-80.151112
zipgeo_33182,33182,25.782549,-80.401385
zipgeo_33183,33183,25.700602,-80.405729
zipgeo_33184,33184,25.759711,-80.406473
zipgeo_33185,33185,25.730485,-80.454283
zipgeo_33186,33186,25.654420,-80.412154
zipgeo_33187,33187,25.527430,-80.599826
zipgeo_33189,33189,25.573102,-80.338974
